                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                 1.2604,                 1.1496,                 1.7097,                0.65614,                0.40385,                 0.4784,                0.20153,                 2.4015,                 1.9338,                 3.4612,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2857,                 1.1805,                 1.7399,                0.71831,                    0.5,                0.53122,                0.23893,                 2.3643,                 1.9268,                 3.4161,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1958,                 1.0277,                 1.6233,                0.67687,                0.46154,                0.49145,                0.19607,                 2.4676,                 1.8378,                 3.3683,               0.001604,               0.001604,               0.001604
                     22,                 1.1601,                 1.0758,                 1.6111,                0.71711,                0.53628,                0.52449,                0.19985,                 2.5546,                 1.7318,                 3.4939,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1019,                 1.0056,                 1.5744,                0.60904,                0.47936,                0.50559,                0.20167,                 2.5374,                  1.828,                 3.4466,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1012,                 1.0243,                 1.6047,                0.63251,                0.59615,                0.62484,                0.24787,                 2.4026,                 1.5664,                 3.4312,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0662,                 1.0202,                 1.5359,                0.65509,                0.57692,                0.54717,                0.21609,                 2.5124,                 1.7369,                 3.6835,              0.0015248,              0.0015248,              0.0015248
                     26,                0.99265,                0.92327,                 1.5203,                0.67553,                0.51923,                0.57917,                0.22312,                  2.446,                 1.6647,                 3.5725,               0.001505,               0.001505,               0.001505
                     27,                 1.0575,                0.99493,                 1.5701,                0.58597,                0.54442,                0.54487,                0.18369,                 2.7495,                 1.6519,                   3.96,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1151,                 1.0009,                 1.5873,                0.71675,                0.53846,                0.54775,                0.19593,                  2.487,                 1.7966,                 3.6665,              0.0014654,              0.0014654,              0.0014654
                     29,                0.98733,                0.90323,                 1.4834,                0.65648,                0.59615,                0.58599,                0.20304,                 2.5586,                 1.6565,                 3.6822,              0.0014456,              0.0014456,              0.0014456
                     30,                0.96945,                 0.9172,                 1.4953,                0.57708,                0.53846,                0.57516,                0.23961,                  2.496,                 1.7897,                  3.947,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9482,                 1.6161,                 2.8524,                0.65532,                    0.5,                0.54075,                0.23986,                 2.1682,                 1.9142,                 3.1246,               0.001406,               0.001406,               0.001406
                     32,                 1.7956,                 1.5929,                 2.4698,                0.47281,                0.48295,                0.47572,                0.17126,                 2.3014,                 2.0257,                 3.1047,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.7302,                  1.503,                  2.376,                0.52667,                0.53846,                0.51052,                0.21468,                 2.2597,                 1.8698,                 2.9837,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.7387,                 1.4137,                 2.3218,                0.54445,                0.55769,                0.52825,                  0.188,                 2.4056,                  1.703,                 3.1233,              0.0013466,              0.0013466,              0.0013466
                     35,                   1.77,                 1.3945,                 2.3561,                0.78494,                0.51923,                 0.5916,                0.24385,                 2.2937,                 1.6741,                 3.0268,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6847,                 1.3897,                 2.2878,                 0.6394,                0.48077,                 0.5636,                0.22133,                 2.3507,                 1.5837,                 3.0958,               0.001307,               0.001307,               0.001307
                     37,                 1.7134,                 1.3704,                 2.2916,                 0.7386,                0.48917,                0.58232,                0.25845,                 2.1724,                  1.564,                 2.7812,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6566,                 1.3273,                 2.2708,                0.73338,                0.52911,                0.58275,                0.23531,                 2.1542,                   1.68,                 2.8702,              0.0012674,              0.0012674,              0.0012674
                     39,                   1.59,                 1.3001,                 2.1795,                0.77135,                0.58398,                0.66082,                0.24597,                 2.1996,                 1.5156,                 2.9084,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5787,                 1.2526,                 2.1135,                0.73511,                    0.5,                 0.6194,                0.21955,                  2.221,                 1.5209,                 2.8913,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5339,                 1.1798,                 2.1316,                0.76351,                0.55882,                0.60775,                0.24233,                 2.2906,                 1.6252,                 3.0202,               0.001208,               0.001208,               0.001208
                     42,                  1.547,                 1.1865,                 2.1313,                0.56099,                0.68812,                 0.6447,                0.24937,                 2.2745,                 1.5191,                 2.8893,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.513,                 1.1299,                 2.0928,                 0.6145,                0.61538,                0.65976,                0.24717,                 2.2275,                 1.4702,                 2.8674,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5093,                 1.1551,                 2.1185,                0.64817,                0.60236,                0.64087,                0.22932,                  2.343,                 1.4459,                 2.9881,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5074,                 1.1418,                 2.0431,                0.70292,                0.51923,                0.60897,                0.23983,                 2.3098,                 1.5295,                 2.9904,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4567,                 1.1348,                 2.0783,                0.60947,                0.66035,                 0.6263,                0.25309,                  2.265,                 1.4527,                 2.9109,               0.001109,               0.001109,               0.001109
                     47,                 1.3934,                 1.0452,                 1.9938,                0.70398,                0.67308,                0.72936,                 0.2706,                 2.1998,                 1.4845,                 2.9014,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4655,                 1.0929,                 2.0279,                0.79568,                0.53846,                 0.6652,                0.27353,                 2.3691,                 1.4791,                 3.0767,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4471,                 1.0069,                 2.0288,                0.65501,                0.53846,                0.58861,                 0.2518,                 2.3127,                 1.4869,                 3.0304,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5158,                 1.0909,                 2.0766,                0.59003,                0.58129,                0.58269,                0.24975,                 2.2988,                 1.5467,                 3.0103,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.478,                 1.0821,                 2.0514,                 0.6106,                0.63462,                0.62746,                0.25919,                 2.3198,                 1.3742,                 2.9322,                0.00101,                0.00101,                0.00101
                     52,                 1.4167,                0.99378,                 1.9938,                0.54522,                0.63462,                0.60642,                0.27819,                 2.2281,                 1.4498,                 2.8473,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3944,                0.99354,                 1.9361,                 0.5945,                0.57692,                0.62443,                0.26544,                 2.3144,                 1.3891,                 2.9268,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3421,                0.95015,                 1.8737,                0.76276,                0.57692,                0.64229,                 0.2376,                  2.339,                 1.5268,                 3.0806,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3452,                0.94293,                 1.8942,                0.72461,                0.59615,                 0.7025,                0.29033,                 2.1849,                 1.3222,                 2.8481,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3244,                  0.967,                 1.8848,                0.60741,                0.63462,                0.65556,                0.26898,                 2.2199,                  1.399,                 2.9165,               0.000911,               0.000911,               0.000911
                     57,                  1.297,                0.92887,                 1.8874,                0.78705,                0.55769,                0.67916,                0.26346,                 2.3423,                 1.4925,                 3.0908,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3052,                0.92697,                 1.8832,                0.67706,                0.65385,                0.70538,                0.29482,                 2.2811,                 1.3244,                 2.8931,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2787,                0.88724,                 1.8528,                0.72531,                0.60943,                0.67267,                0.28825,                 2.1751,                 1.3794,                 2.8358,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2607,                0.88299,                  1.851,                0.69171,                   0.75,                0.75191,                0.30487,                 2.1532,                 1.2734,                 2.8527,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3047,                 0.8604,                 1.8938,                0.80638,                0.63462,                0.73282,                0.32277,                 2.1487,                 1.2208,                 2.9021,               0.000812,               0.000812,               0.000812
                     62,                 1.2675,                0.82503,                 1.8099,                0.67282,                0.65385,                0.71281,                0.31526,                 2.1047,                 1.3112,                 2.8732,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2384,                0.85241,                 1.8214,                0.71562,                0.67308,                0.69493,                0.30223,                 2.1603,                 1.3872,                 2.8738,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1825,                0.83076,                 1.7472,                0.90537,                0.61538,                0.71595,                0.29794,                 2.2001,                 1.3379,                 2.9088,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1543,                0.80009,                 1.7323,                0.78278,                0.76238,                0.76828,                0.32094,                 2.2085,                 1.3371,                 2.8764,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2068,                0.79751,                 1.8043,                0.74467,                0.72916,                0.73754,                0.29418,                 2.2191,                 1.3758,                 2.9088,               0.000713,               0.000713,               0.000713
                     67,                 1.1639,                0.82105,                 1.7588,                0.74855,                0.68705,                0.73738,                0.29981,                 2.2009,                 1.3054,                  2.962,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1565,                0.79139,                 1.7379,                0.72935,                0.62196,                0.72536,                0.30749,                 2.1684,                 1.3091,                  2.905,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1875,                0.78303,                 1.7253,                0.78168,                0.65385,                0.77799,                0.31475,                 2.1921,                 1.2973,                 2.9353,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1662,                0.77751,                 1.7151,                0.71532,                0.67657,                0.74097,                0.29214,                 2.1992,                 1.3614,                  2.973,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1507,                0.79186,                 1.7395,                0.74347,                0.72462,                0.77634,                0.28073,                 2.2616,                 1.2621,                 3.0155,               0.000614,               0.000614,               0.000614
                     72,                 1.1149,                0.74605,                 1.6902,                0.79707,                0.67991,                0.75728,                0.30058,                 2.2537,                 1.2647,                 2.9613,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1454,                0.76393,                 1.7368,                0.74404,                0.69231,                0.71191,                0.27681,                 2.3087,                 1.3031,                 2.9979,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1236,                0.75132,                  1.702,                0.69978,                0.71728,                0.72647,                  0.286,                 2.2681,                 1.3359,                 3.0043,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0602,                0.69497,                  1.644,                0.71105,                0.61538,                0.72409,                0.29538,                 2.2102,                 1.2518,                 2.9109,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0934,                0.69999,                 1.6669,                0.68732,                 0.7187,                0.73344,                0.29731,                 2.2034,                 1.3602,                 2.8899,               0.000515,               0.000515,               0.000515
